Wind speed,Output power,Nacelle temperature,Generator speed,Pitch motor temperature 1,Pitch motor temperature 2,Pitch motor temperature 3,Pitch angle 1,Pitch angle 2,Pitch angle 3,Pitch torque 1,Pitch torque 2,Pitch torque 3
5.5,412.5,2.7,1424,31,30,33,0,0,0,-7.23,-5.79,-9.66
5.57,411.5,2.3,1413.3,31,27,31,0,0,0,-7.81,-7.36,-10.34
5.58,485.3,2.1,1482.5,33,29,33,0,0.01,0,-8.54,-6.6,-8.25
5.5,413.1,3.3,1400.8,23,19,21,0,0,0,-11.02,-7.91,-8.29
5.51,442.9,4.2,1435.3,23,19,21,0,0,0,-8.65,-9.45,-8.27
5.54,402.3,2.3,1390,31,27,27,0,0,0,-11.27,-6.79,-8.72
5.55,478.2,0.8,1473,31,27,27,0,0,0,-10.64,-8.59,-7.5
5.65,487.4,2.4,1485.2,11,10,14,0,0,0,-8.17,-8.11,-12
5.66,412.3,3.2,1406.9,23,19,21,0,0,0,-10.25,-5.36,-9.65
5.66,419.5,3.9,1407.3,23,19,21,0,0,0,-11.02,-8.12,-8.26
5.69,439.1,4.3,1431.2,23,20,21,0,0,0,-8.74,-9.68,-8.54
5.63,419.7,3.1,1419.3,24,20,23,0,0,0,-8.5,-9.18,-8.59
5.64,467.9,4.1,1452.5,24,20,23,0,0,0,-8.92,-5.99,-10.5
5.6,428.7,2.8,1419.8,34,30,30,0,0,0,-10.49,-9.35,-6.98
5.62,478.6,1.5,1474.8,34,30,30,0,0,0,-12.77,-7.91,-9.61
5.65,491.6,2.5,1483.3,34,30,30,0,0,0,-11.83,-7.15,-9.77
5.61,480.7,1,1473,33,29,29,0,0,0,-9.56,-10.64,-9.72
5.7,423.4,0.5,1405.2,17,14,17,0,0,0,-8.26,-5.91,-9.53
5.7,453.4,0.5,1446.2,17,14,17,0,0,0,-7.85,-6.19,-9.9
5.71,437.4,2.1,1418.4,30,27,31,0,0,0,-8.05,-7.33,-9.41
5.72,449.7,4.2,1444.7,24,20,23,0,0,0,-8.75,-9.08,-8.42
5.73,442.2,3.6,1433.5,24,20,23,0,0,0,-8.68,-9.81,-8.57
5.74,485.8,4.3,1477.7,23,20,23,0,0,0,-9.23,-9.49,-8.89
5.73,483.5,3.1,1477.9,24,21,23,0,0,0,-11.02,-6.72,-9.13
5.75,431.9,3.9,1412.8,31,29,30,0,0,0,-9.13,-10.12,-7.68
5.78,498.9,1.5,1491.7,34,31,31,0,0,0,-12.3,-9.02,-9.92
5.75,472.2,2.8,1464.8,34,30,30,0,0,0,-11.4,-8.98,-7.43
5.71,431.2,1.5,1410.5,31,27,27,0,0,0,-12.82,-7.86,-9.79
5.84,415.2,0.8,1398.3,19,16,20,0,0,0,-8.93,-5.83,-8.24
5.83,410.7,2.9,1396.4,30,29,31,0,0,0,-10.04,-8.31,-8.76
5.81,444,1.4,1431.7,20,17,20,0,0,0,-8.68,-5.69,-9.7
5.89,426.9,2.1,1413.9,21,17,21,0,0,0,-10.7,-6.32,-9.45
5.85,421.1,3.6,1413,7,6,9,0,0,0,-5.58,-9.86,-9.58
5.84,424.2,3.2,1410,23,19,21,0,0,0,-8.19,-7.9,-8.09
5.85,413.1,3.2,1407.5,23,19,21,0,0,0,-8.29,-9.16,-8.16
5.87,457.6,3.9,1449.8,24,20,23,0,0,0,-8.91,-8.08,-8.47
5.86,478.5,2.8,1464.3,34,31,31,0,0,0,-11.5,-12.44,-11.18
5.89,450.4,2.2,1445.3,34,31,31,0,0,0,-8.93,-10.29,-10.12
5.89,497.5,3,1493.3,34,30,30,0,0,0,-11.51,-10.21,-7.59
5.89,487.7,3,1481.5,34,30,30,0,0,0,-12.62,-8.87,-9.93
5.85,474.4,2.1,1467.5,31,27,27,0,0,0,-9.33,-10.65,-9.6
5.93,486.9,1.8,1503.5,37,33,37,0,0,0,-10.17,-8.03,-9.91
5.94,482.6,4.8,1483,21,19,21,0,0,0,-8.4,-6.34,-10.66
5.93,491.4,3.4,1482.8,24,20,23,0,0,0,-9.26,-6.29,-8.81
5.92,470.9,3.5,1470,34,30,31,0,0,0,-8.27,-10.54,-10.51
5.97,460.8,3.1,1467.5,31,29,29,0,0,0,-10.98,-8.75,-7.96
6.06,449.3,0.4,1431.5,20,16,20,0,0,0,-9.37,-7.24,-8.24
6.07,489.5,2.7,1483.7,31,29,33,0,0,0,-7.66,-7.56,-10.25
6.08,489.2,2.2,1475.5,31,29,30,0,0,0,-12.49,-7.54,-10.5
6.13,413.5,0.6,1402.7,21,17,20,0,0,0,-9.46,-5.3,-8.54
6.12,427.6,2.4,1403.5,33,30,34,0,0,0,-6.63,-8.34,-8.88
6.1,476.3,2.1,1471.8,33,29,33,0,0,0,-8.13,-7.7,-9.93
6.15,455.6,2.9,1456.6,31,30,30,0,0,0,-10.18,-7.3,-10.05
6.14,491.4,3.3,1505.1,31,29,30,0,0,0,-10.98,-6.41,-10.13
6.19,440.1,2.8,1427.5,31,29,30,0,0,0,-9.59,-6.72,-9.89
6.2,413,0.5,1392.5,19,16,19,0,0,0,-7.81,-7.95,-8.24
6.26,447.3,2.2,1439,31,27,31,0,0,0,-8.46,-6.79,-9.69
6.32,429.4,0.7,1423,19,16,19,0,0,0,-9.25,-6.57,-8.24
6.32,473.6,3.9,1481.3,33,30,33,0,0,0,-9.5,-7.14,-9.61
6.31,454.1,2.2,1452.3,11,9,13,0,0,0,-7.73,-8.46,-9.43
6.35,498.9,3.1,1494.6,24,20,23,0,0,0,-9.61,-9.27,-8.84
6.58,481.2,4.3,1490.9,38,37,38,0,0,0,-7.11,-7.02,-10.56
6.66,423.1,2.6,1433.1,30,29,31,0,0,0,-7.56,-8.72,-9.91
6.8,498.6,2.7,1511.5,33,30,34,0,0,0,-8.2,-8.22,-10.16
7.24,472.9,3.7,1481.6,29,26,30,0,0,0,-8.65,-9.21,-10.5
5.2,552.3,4.3,1532.2,30,27,31,0,0,0,-8.6,-9.98,-10.45
5.2,552.3,4.3,1532.2,30,27,31,0,0,0,-8.6,-9.98,-10.45
5.2,552.3,4.3,1532.2,30,27,31,0,0,0,-8.6,-9.98,-10.45
5.23,514.3,3.2,1507.3,29,26,27,0,0,0,-11.47,-8.47,-9.93
5.28,537.8,2.2,1523.9,37,33,33,0,0,0,-10.32,-11.77,-8.66
5.34,545.9,3.4,1537.3,29,26,27,0,0,0,-12.49,-8.22,-11.09
5.33,586.3,2.5,1571.5,31,29,30,0,0,0,-11.27,-9.72,-12.63
5.49,558.5,0.3,1551.5,19,16,20,0,0,0,-11.29,-10.59,-9.79
5.4,542.5,2.2,1528.5,31,29,33,0,0,0,-9.45,-9.42,-11.92
5.49,579.7,4.1,1581.8,30,27,31,0,0,0,-11.71,-9.18,-9.58
5.46,522,3.4,1506.5,30,27,29,0,0,0,-10.66,-11.87,-9.69
5.4,538.8,2.8,1525.4,33,30,30,0,0,0,-11,-8.7,-12.12
5.58,504.7,0,1501.6,19,16,20,0,0,0,-8.48,-9.41,-9.79
5.5,586.6,2.9,1565.7,40,36,40,0,0,0,-9.12,-8.75,-11.29
5.56,509.8,2.8,1500.6,38,36,40,0,0,0,-8.33,-7.9,-9.43
5.54,527.5,1.8,1509.8,37,33,37,0,0,0,-10.02,-8.89,-10.17
5.5,513.7,4.1,1507.7,24,21,23,0,0,0,-9.62,-7.31,-9.31
5.51,507.7,3.2,1487.3,34,31,31,0,0,0,-12.27,-10.66,-11.37
5.52,586.2,1.9,1573.2,37,37,34,0,0,0,-13.56,-9.27,-10.89
5.59,571.5,1.7,1566.8,37,33,33,0,0,0,-11.23,-13.72,-11.3
5.51,547.5,1.5,1541.5,37,33,33,0,0,0,-9.76,-11.43,-10.18
5.62,550.8,2.9,1542.3,29,26,27,0,0,0,-9.45,-12.75,-9.72
5.64,598.4,3.7,1586,34,31,31,0,0,0,-10.99,-13.25,-11.51
5.6,571.8,2.9,1558.4,34,31,31,0,0,0,-11.77,-10.62,-11.7
5.67,529.7,3.9,1521,33,30,30,0,0,0,-9.25,-11.69,-11.05
5.68,532.3,2.6,1531.3,31,29,30,0,0,0,-8.45,-11.99,-10.93
5.67,511,3.9,1507.8,31,29,30,0,0,0,-8.65,-11.68,-9.1
5.61,580.1,1.7,1563.9,34,33,31,0,0,0,-12.39,-9.41,-11.91
5.67,564.5,1.6,1560.9,37,36,33,0,0,0,-12.8,-12.32,-11.21
5.62,552,1.9,1544.5,37,36,33,0,0,0,-12.57,-11.57,-9.03
5.68,519.7,2.2,1511.1,37,34,33,0,0,0,-10.59,-11.8,-11.18
5.76,581.8,3.9,1614.6,40,38,41,0,0,0,-10.18,-9.67,-10.25
5.74,553.4,3.5,1530.1,37,33,37,0,0,0,-6.74,-8.8,-9.49
5.72,518.2,1.8,1523,37,33,37,0,0,0,-8.13,-8.89,-10.17
5.71,512.9,4.2,1507.3,24,21,24,0,0,0,-12.24,-7.36,-9.77
